                                      Part Name  Count  Percentage
          bush shock absorber bottom front left      1        0.04
               tape rear door outer fr rh black      1        0.04
                              control hvac unit      1        0.04
                               knuckle ft right      1        0.04
                 ac control assembly middle row      1        0.04
                           module assy  air bag      1        0.04
                                cap fr bumper c      1        0.04
                           fender lining rh  lh      1        0.04
                    indicator lamp bumper right      1        0.04
                                   stg srs ring      1        0.04
                                           hose      1        0.04
                      guard side sill splash lh      1        0.04
                        trim compquarter lowerr      1        0.04
                              panel dash side l      1        0.04
                                    front lower      1        0.04
                          hinge front  upper rh      1        0.04
                extension apron side mbr lwr lh      1        0.04
                            hinge front hood rh      1        0.04
                        hose air cleaner outlet      1        0.04
                             sensor assyforward      1        0.04
                      bolt spnsn arm fr bushin2      1        0.04
                                          tapes      1        0.04
                   electronic control moduleecm      1        0.04
                                      frlh belt      1        0.04
                       moldingfr pillar lower l      1        0.04
                           bracket bumper fr lh      1        0.04
                                   valve intake      1        0.04
                   lock assembly door rear left      1        0.04
                                   mirror right      1        0.04
                            cover fr end upr lh      1        0.04
                                   cap reervoir      1        0.04
                          hinge comp frt hood l      1        0.04
                            wheel15x5 12jsilver      1        0.04
                                       fog lamp      1        0.04
                           rh bezal side chrome      1        0.04
                      air filtercleaner element      1        0.04
                   weatherstripfront door opngr      1        0.04
                                   hinge left 2      1        0.04
                                 pan engine oil      1        0.04
                 panel comp rr quarter inner rh      1        0.04
                       tail light housing right      1        0.04
                    guard assyside sill splashl      1        0.04
             repair cashloss mode of settlement      1        0.04
                     glassside windowl versa o2      1        0.04
                              brace comphd lock      1        0.04
                           windsshied wash tank      1        0.04
                               holder bumper lh      1        0.04
                                 boxfuel filler      1        0.04
                                cover relay box      1        0.04
                               fender lining rh      1        0.04
                                garnishcowl top      1        0.04
                           beam assy rear spnsn      1        0.04
                     panel compdash side frontr      1        0.04
                               glassqtr windowr      1        0.04
                                     tankwasher      1        0.04
                               abs control unit      1        0.04
                          cliproof molding body      1        0.04
            bezel front fog lamp both 523423047      1        0.04
                        holder fr bumper side l      1        0.04
                                 coverrelay box      1        0.04
                 garnish assy back door license      1        0.04
              rear view door mirror cover right      1        0.04
                              cover under right      1        0.04
                             garnish fr lower r      1        0.04
                        member radiator support      1        0.04
                           hub assy front wheel      1        0.04
                      garnish fr pillar outer l      1        0.04
                          spoiler assyback door      1        0.04
                    weatherstriprear door opngr      1        0.04
            cabin floor under guard cover right      1        0.04
                            wiring harness main      1        0.04
                                  airbag sensor      1        0.04
                      cover engine under side r      1        0.04
                                          brace      1        0.04
                               bcp chrome dzire      1        0.04
                         holderfr bumper frontr      1        0.04
                              spacer spare tire      1        0.04
                          trim qtr inner lwr lh      1        0.04
                          cover front fender lh      1        0.04
                               sensor oxygen rr      1        0.04
                            memberlamp supportr      1        0.04
                                         lining      1        0.04
                                emblemvxichrome      1        0.04
                                 compressor oil      1        0.04
                           lock assy rr back rh      1        0.04
                         holder front bumper rh      1        0.04
                      lamp assy side turn sig r      1        0.04
                                  bonnet hinges      1        0.04
                                           seal      1        0.04
                           body side panel left      1        0.04
                 quarter panel glass fixed left      1        0.04
                 garnish bumper head light left      1        0.04
                       hinge rear door upper lh      1        0.04
                                     bumperrear      1        0.04
                                      crash pad      1        0.04
                     panel wheel house inner rh      1        0.04
                            lamp assyfront comp      1        0.04
                         cover assy strg column      1        0.04
                sealant rear windshield glass 2      1        0.04
                           lamp assy rr comb rh      1        0.04
                                swith asy comby      1        0.04
                           center b pillar left      1        0.04
                           holder fr bpr side r      1        0.04
                            pump assy fr washer      1        0.04
                   panel compwheel house outerr      1        0.04
                         holderfr bumper side l      1        0.04
                     mirror assy inside rr view      1        0.04
                                     screw 6x10      1        0.04
                           clampclutch oil pipe      1        0.04
                          gasket breather plate      1        0.04
                                  magnet clutch      1        0.04
                              trim dashboard lh      1        0.04
                                        bezel r      1        0.04
                                  fender lining      1        0.04
                                   body sticker      1        0.04
                                      tape rr 3      1        0.04
                   tape front door outer upr rh      1        0.04
                               brace support rh      1        0.04
                                  knuckle right      1        0.04
                             pad front fender l      1        0.04
                                      emblemxl6      1        0.04
                                memberhood lock      1        0.04
                          holder fr bumper rhlh      1        0.04
                                runrear  glassl      1        0.04
                         bezel front fog lamp l      1        0.04
                          coverstrg column hole      1        0.04
                        fan assy engine cooling      1        0.04
                            setglass windshield      1        0.04
                               joint stabilizer      1        0.04
                               member ft bumper      1        0.04
                                   lamp support      1        0.04
                  tape fr pillar upper rh black      1        0.04
                        switch assy combination      1        0.04
                                    turn signal      1        0.04
                                      covermark      1        0.04
                         stop compfront dr open      1        0.04
                      guard ft fender splash rh      1        0.04
                          frame rr back side lh      1        0.04
                           joint stabilizer bar      1        0.04
                              bracket rear left      1        0.04
                       taperear door outer frrh      1        0.04
                         hinge dickytrunk right      1        0.04
                                     mggo total      1        0.04
                     arm comprear door upper rh      1        0.04
                       cover front door sealing      1        0.04
                                     tape front      1        0.04
                          moulding fr piller rh      1        0.04
                           hose radiator outlet      1        0.04
         insulator strut suspension front right      1        0.04
                          tape rear outer fr rh      1        0.04
                             tape fr outer door      1        0.04
                                grille radiator      1        0.04
                              balance back dr l      1        0.04
                    trim scuff plate dickytrunk      1        0.04
                                pipe inlet comp      1        0.04
                              stay comp fr hood      1        0.04
                             panel fr fender rh      1        0.04
                   extension compside body otrl      1        0.04
                                glass quater lh      1        0.04
                          garnishrr bmper upper      1        0.04
                               lamp assylicense      1        0.04
                       garnish front bumper ctr      1        0.04
                                 sealent set 03      1        0.04
                    holder front bumper side lh      1        0.04
                     trim dickytrunk left lower      1        0.04
                  cable comp hood latch release      1        0.04
                    mounting rdtr support upper      1        0.04
                                         battry      1        0.04
                   mirror assy out rear view lh      1        0.04
                                    emblem ddis      1        0.04
                                 panelair guard      1        0.04
                        garnish ip drvr outside      1        0.04
                               harness set main      1        0.04
                                   holder fr lh      1        0.04
                            latch assyback door      1        0.04
                                       fan assy      1        0.04
                extension front bumper lower rh      1        0.04
                              bracketfog bezell      1        0.04
                      garnish fr bumper lower r      1        0.04
                              cover fndr top lh      1        0.04
                  cover comp front bumper lower      1        0.04
                               holder hood stay      1        0.04
                                  lining fen rh      1        0.04
                                     latch comp      1        0.04
                           cylinder head gasket      1        0.04
                    grille radiator lower black      1        0.04
                           panel assy rr door r      1        0.04
    latch and actuator assembly rear door right      1        0.04
                          garnishcowl top sider      1        0.04
                         panel wheel housing rh      1        0.04
                              garnish fr bmpr r      1        0.04
                           handle side door out      1        0.04
                    garnish quarter panel right      1        0.04
                           runfront door glassl      1        0.04
                      tapefront door pillar rrr      1        0.04
                          panel assyrear door r      1        0.04
                     channel ft door glass left      1        0.04
                            motor assy starting      1        0.04
                                  flywheel comp      1        0.04
                      mirror assyout rear viewr      1        0.04
         longitudnal member engine support left      1        0.04
                   bracket front fender lower r      1        0.04
                                       terminal      1        0.04
                                 flapmud frontl      1        0.04
                                    headlamp rh      1        0.04
                                 condesnor assy      1        0.04
                    weatherstripfront door opng      1        0.04
                       carpet compluggage floor      1        0.04
                          wiring harness engine      1        0.04
                    weatherstripfront door outl      1        0.04
                           sensor  assy forward      1        0.04
                   panel comp fr pillar inner r      1        0.04
